ID,CALL,CN,TYPE,NAME
06DDEA30,D-KKGX,GX,Arcus T,
06DDA6F8,FLRDDA6F8,,,
053E5D00,D-KAKM,KM,DG-1000 T,
053E7721,D-KKHT,1G,Arcus M,
053E5C45,D-KADH,DH,Arcus M,
053E61D0,DKCFW,FW,Arcus M,
06D00E84,FLRD00E84,,,
06D0048C,D-KBBQ,YB,Duo Discus xlt,
06DDEB4D,D-KVKV,2AS,Arcus T,
06DF1219,D-KSTW,TW,Discus 2,
06DDDFCC,D-KEDD,DD,Arcus T,
06D00E84,FLRD00E84,,,
053E5D00,D-KAKM,KM,DG-1000 T,
06DF20ED,D-4010,K5,Duo Discus,
053E76BA,D-KKDU,,Duo Discus t,
